name,birth,age,sport,event,team,medal,gender,full_name,height_cm,weight_kg,born_location,born_lat_lon,death,rank
Tomomi Abiko,1988-03-17,24,Athletics,Women's Pole Vault,Japan,,Female,Tomomi Abiko,173,53,"Kusatsu, Gunma, Japan","36.6207784,138.5960529",,19T
Camille Abily,1984-12-05,27,Football,Women's Football,France,,Female,Camille Anne Fran√É¬ßoise Abily,168,60,"Rennes, Ille-et-Vilaine, France","48.117266,-1.6777926",,4
Endurance Abinuwa,1987-07-31,24,Athletics,Women's 4 x 100 metres Relay,Nigeria,,Female,Endurance Abinuwa,159,54,"Sapele, Delta, Nigeria","5.9,5.666667",,4
Denis Ablyazin,1992-08-03,19,Gymnastics,Men's Team All-Around,Russia,,Male,Denis Mikhaylovich Ablyazin,161,,"Penza, Penza, Russia","53.2,45.016667",,6
Denis Ablyazin,1992-08-03,19,Gymnastics,Men's Floor Exercise,Russia,Bronze,Male,Denis Mikhaylovich Ablyazin,161,,"Penza, Penza, Russia","53.2,45.016667",,3
Denis Ablyazin,1992-08-03,19,Gymnastics,Men's Horse Vault,Russia,Silver,Male,Denis Mikhaylovich Ablyazin,161,,"Penza, Penza, Russia","53.2,45.016667",,2
Denis Ablyazin,1992-08-03,19,Gymnastics,Men's Parallel Bars,Russia,,Male,Denis Mikhaylovich Ablyazin,161,,"Penza, Penza, Russia","53.2,45.016667",,71 r1/2
Denis Ablyazin,1992-08-03,19,Gymnastics,Men's Horizontal Bar,Russia,,Male,Denis Mikhaylovich Ablyazin,161,,"Penza, Penza, Russia","53.2,45.016667",,49 r1/2
Denis Ablyazin,1992-08-03,19,Gymnastics,Men's Rings,Russia,,Male,Denis Mikhaylovich Ablyazin,161,,"Penza, Penza, Russia","53.2,45.016667",,5
Bukola Abogunloko,1994-08-18,17,Athletics,Women's 4 x 400 metres Relay,Nigeria,,Female,Bukola Dammy Abogunloko,170,53,"Ijero, Ekiti, Nigeria","7.8119593,5.0676766",,AC r2/2
Rabah Aboud,1981-01-01,31,Athletics,"Men's 5,000 metres",Algeria,,Male,Rabah Aboud,180,64,"Tissemsilt, Tissemsilt, Algeria","35.607778,1.811111",,14 h2 r1/2
Alaaeldin Abouelkassem,1990-11-25,21,Fencing,"Men's Foil, Individual",Egypt,Silver,Male,Alaaeldin Ahmad El-Sayyid Abouelkassem,188,82,"S√É¬©tif, S√É¬©tif, Algeria","36.183333,5.4",,2
Alaaeldin Abouelkassem,1990-11-25,21,Fencing,"Men's Foil, Team",Egypt,,Male,Alaaeldin Ahmad El-Sayyid Abouelkassem,188,82,"S√É¬©tif, S√É¬©tif, Algeria","36.183333,5.4",,9
Mohamed Aboutrika,1978-11-07,33,Football,Men's Football,Egypt,,Male,Mohamed Mohamed Mohamed Aboutrika,182,77,"Giza, Al-Jizah, Egypt","30.0130557,31.2088526",,8
Arnaldo Abrantes,1986-11-27,25,Athletics,Men's 200 metres,Portugal,,Male,Arnaldo Lu√É¬≠s Isa√É¬≠as Abrantes,183,72,"Almada, Pen√É¬≠nsula de Set√É¬∫bal, Portugal","38.5754597,-9.1523583",,5 h7 r1/3
Amir Abrashi,1990-03-27,22,Football,Men's Football,Switzerland,,Male,Amir Abrashi,172,70,"Bischofszell, Thurgau, Switzerland","47.4964014,9.241465",,13
√É‚Ä∞rika Abril,1978-03-29,34,Athletics,Women's Marathon,Colombia,,Female,√É‚Ä∞rika Abril Su√É¬°rez,158,47,"San Jos√É¬© de Pare, Boyac√É¬°, Colombia","6.016667,-73.55",,51
Laura Abril,1990-01-28,22,Cycling,"Women's Mountainbike, Cross-Country",Colombia,,Female,Laura Valentina Abril Restrepo,162,50,"La Cumbre, Valle del Cauca, Colombia","3.651137,-76.5699999",,AC
Julien Absalon,1980-08-16,31,Cycling,"Men's Mountainbike, Cross-Country",France,,Male,Julien Absalon,180,68,"Remiremont, Vosges, France","48.015589,6.591716",,AC
Ayele Abshero,1990-12-28,21,Athletics,Men's Marathon,Ethiopia,,Male,Ayele Abshero,168,62,"Addis Ababa, Addis Ababa, Ethiopia","8.9806034,38.7577605",,AC
Methkal Abu Drais,1983-12-29,28,Athletics,Men's Marathon,Jordan,,Male,Methkal Marouf Abu Drais,168,62,"Al-Ardah, Balqa, Jordan",,,56
Maher Abu Rmilah,1983-08-24,28,Judo,Men's Lightweight,Palestine,,Male,Maher Abu Rmilah,172,72,"Jerusalem, Yerushalayim, Israel","31.768319,35.21371",,16T
Mohammad Abulibdeh,1983-10-22,28,Taekwondo,Men's Featherweight,Jordan,,Male,Mohammad Abulibdeh,183,,"Amman, Amman, Jordan","31.9565783,35.9456951",,9T
Kanat Abutalipov,1983-03-22,29,Boxing,Men's Bantamweight,Kazakhstan,,Male,Kanat Kalizhanovich Abutalipov,168,56,"Barshino, Quaraghandy, Kazakhstan","49.679167,69.536111",,9T
Irina Abysova,1980-11-07,31,Triathlon,Women's Olympic Distance,Russia,,Female,Irina Alekseyevna Abysova,175,56,"Moscow, Moskva, Russia","55.755826,37.6173",,13
William Accambray,1988-04-08,24,Handball,Men's Handball,France,Gold,Male,William Accambray,194,104,"Cannes, Alpes-Maritimes, France","43.552847,7.017369",,1
Raidel Acea,1990-10-31,21,Athletics,Men's 4 x 400 metres Relay,Cuba,,Male,Raidel Acea Morales,,,"Cienfuegos, Cienfuegos, Cuba","22.1599753,-80.4437781",,AC r2/2
Loreto Achaerandio,1991-09-13,20,Rhythmic Gymnastics,Women's Group,Spain,,Female,Loreto Achaerandio S√É¬°nchez-Mar√É¬≠n,164,,"Madrid, Madrid, Spain","40.4167754,-3.7037902",,4
Kieron Achara,1983-07-03,29,Basketball,Men's Basketball,Great Britain,,Male,Kieron Robert Achara,208,110,"Stirling, Stirling, Great Britain","56.1165227,-3.9369029",,9
Janet Achola,1988-06-26,24,Athletics,"Women's 1,500 metres",Uganda,,Female,Janet Achola,167,52,"Lira, Northern, Uganda","2.248889,32.9",,11 h3 r1/3
Natalie Achonwa,1992-11-22,19,Basketball,Women's Basketball,Canada,,Female,Natalie Achonwa,190,83,"Toronto, Ontario, Canada","43.653226,-79.3831843",,8
Dallal Achour,1994-11-03,17,Volleyball,Women's Volleyball,Algeria,,Female,Dallal Merwa Achour,176,45,"Boufarik, Blida, Algeria","36.570556,2.910833",,11T
Haykel Achouri,1984-08-29,27,Wrestling,"Men's Light-Heavyweight, Greco-Roman",Tunisia,,Male,Haykel Al-Achouri,184,84,"Tunis, Tunis, Tunisia","36.8064948,10.1815316",,15T
Chantal Achterberg,1985-04-16,27,Rowing,Women's Coxed Eights,Netherlands,Bronze,Female,Chantal Achterberg,171,72,"Vlaardingen, Zuid-Holland, Netherlands","51.9120668,4.3494366",,3
Luz Acosta,1980-12-22,31,Weightlifting,Women's Middleweight,Mexico,,Female,Luz Mercedes Acosta Valdez,164,63,"Guaymas, Sonora, Mexico","27.918333,-110.898889",,6
Amy Acuff,1975-07-14,37,Athletics,Women's High Jump,United States,,Female,"Amelia Lynn ""Amy"" Acuff (-Harvey)",188,66,"Fort Arthur, Texas, United States","29.8849504,-93.939947",,20T  r1/2
Crox Acu√É¬±a,1990-06-23,22,Swimming,Men's 4 x 100 metres Freestyle Relay,Venezuela,,Male,Crox Ernesto Acu√É¬±a Rodr√É¬≠guez,192,89,"Maracay, Aragua, Venezuela","10.246944,-67.596111",,15
Mariko Adachi,1983-07-21,29,Triathlon,Women's Olympic Distance,Japan,,Female,Mariko Adachi,162,51,"Hirakata, Osaka, Japan","34.8143402,135.6506583",,14
Yumi Adachi,1989-02-07,23,Synchronized Swimming,Women's Team,Japan,,Female,Yumi Adachi,160,,"Saitama, Saitama, Japan","35.8617292,139.6454822",,5
Idrissa Adam,1984-12-28,27,Athletics,Men's 100 metres,Cameroon,,Male,Idrissa Adam,178,79,"Garoua, North, Cameroon","9.3,13.4",,AC h4 r2/4
Tomasz Adamiec,1982-04-13,30,Judo,Men's Lightweight,Poland,,Male,Tomasz Adamiec,171,73,"Hajnowka, Podlaskie, Poland","52.74514,23.58165",,16T
Nafissatou Adamou,1997-09-27,14,Swimming,Women's 50 metres Freestyle,Niger,,Female,Nafissatou Moussa Adamou,172,72,"Niamey, Niamey, Niger","13.521389,2.105278",,72
Antoine Adams,1988-08-31,23,Athletics,Men's 100 metres,Saint Kitts and Nevis,,Male,Antoine Xavier Adams,180,79,"Basseterre, Saint George Basseterre, Sai","17.3026058,-62.7176924",,7 h2 r3/4
Antoine Adams,1988-08-31,23,Athletics,Men's 200 metres,Saint Kitts and Nevis,,Male,Antoine Xavier Adams,180,79,"Basseterre, Saint George Basseterre, Sai","17.3026058,-62.7176924",,AC h3 r2/3
Antoine Adams,1988-08-31,23,Athletics,Men's 4 x 100 metres Relay,Saint Kitts and Nevis,,Male,Antoine Xavier Adams,180,79,"Basseterre, Saint George Basseterre, Sai","17.3026058,-62.7176924",,6 h1 r1/2
Cammile Adams,1991-09-11,20,Swimming,Women's 200 metres Butterfly,United States,,Female,Natalie Cammile Adams,173,65,"Houston, Texas, United States","29.7601927,-95.3693896",,5
Luke Adams,1976-10-22,35,Athletics,Men's 50 kilometres Walk,Australia,,Male,Luke Kendall Adams,189,70,"Mvumi, Dodoma, Tanzania","-6.3526488,35.8470816",,25
Lyukman Adams,1988-09-24,23,Athletics,Men's Triple Jump,Russia,,Male,Lyukman Rasakovich Adams,194,87,"St. Petersburg, St. Petersburg, Russia","59.9342802,30.3350986",,9
Nicola Adams,1982-10-26,29,Boxing,Women's Flyweight,Great Britain,Gold,Female,Nicola Virginia Adams,164,,"Leeds, West Yorkshire, Great Britain","53.8007554,-1.5490774",,1
Valerie Adams-Vili,1984-10-06,27,Athletics,Women's Shot Put,New Zealand,Gold,Female,Valerie Kasanita Adams-Vili,193,110,"Rotorua, Bay of Plenty, New Zealand","-38.1368478,176.2497461",,1
Filip Adamski,1983-01-05,29,Rowing,Men's Coxed Eights,Germany,Gold,Male,Filip Kamil Adamski,189,87,"Wroc√Ö‚Äöaw, Dolno√Ö‚Ä∫l√Ñ‚Ä¶skie, Poland","51.1078852,17.0385376",,1
Chris Adcock,1989-04-27,23,Badminton,Mixed Doubles,Great Britain,,Male,"Christopher Thomas ""Chris"" Adcock",183,80,"Leicester, Leicester, Great Britain","52.6368778,-1.1397592",,13T
Jangy Addy,1985-03-02,27,Athletics,Men's Decathlon,Liberia,,Male,Jangy McKinley Addy,188,88,"Sacramento, California, United States","38.5815719,-121.4943996",,23
Abrar Osman Adem,1994-01-01,18,Athletics,"Men's 5,000 metres",Eritrea,,Male,Abrar Osman Adem,168,58,"Adi Shumakele, Debub, Eritrea",,,11 h2 r1/2
 Aden√É¬≠zia,1986-12-18,25,Volleyball,Women's Volleyball,Brazil,Gold,Female,Aden√É¬≠zia Aparecida Ferreira da Silva,185,63,"Ibia√É¬≠, Minas Gerais, Brazil","-16.8595393,-44.9050359",,1
Margaret Adeoye,1985-04-22,27,Athletics,Women's 200 metres,Great Britain,,Female,Margaret Adetutu Adeoye,162,65,"Lagos, Lagos, Nigeria","6.5243793,3.3792057",,7 h1 r2/3
Sailom Adi,1986-07-07,26,Boxing,Men's Lightweight,Thailand,,Male,Sailom Adi,172,57,,,,17T
Seun Adigun,1987-01-03,25,Athletics,Women's 100 metres Hurdles,Nigeria,,Female,Moriam Seun Adigun,153,52,"Algonquin, Illinois, United States","42.1655801,-88.2942493",,4 h2 r1/3
Christian Adjoufack,1983-11-20,28,Boxing,Men's Light-Heavyweight,Cameroon,,Male,Christian Donfack Adjoufack,175,,"Yaound√É¬©, Centre, Cameroon","3.866667,11.516667",,17T
Jonna Adlerteg,1995-06-06,17,Gymnastics,Women's Individual All-Around,Sweden,,Female,Jonna Eva-Maj Adlerteg,153,,"V√É¬§ster√É¬•s, V√É¬§stmanland, Sweden","59.6099005,16.5448091",,39 r1/2
Jonna Adlerteg,1995-06-06,17,Gymnastics,Women's Floor Exercise,Sweden,,Female,Jonna Eva-Maj Adlerteg,153,,"V√É¬§ster√É¬•s, V√É¬§stmanland, Sweden","59.6099005,16.5448091",,70 r1/2
Jonna Adlerteg,1995-06-06,17,Gymnastics,Women's Uneven Bars,Sweden,,Female,Jonna Eva-Maj Adlerteg,153,,"V√É¬§ster√É¬•s, V√É¬§stmanland, Sweden","59.6099005,16.5448091",,31 r1/2
Jonna Adlerteg,1995-06-06,17,Gymnastics,Women's Balance Beam,Sweden,,Female,Jonna Eva-Maj Adlerteg,153,,"V√É¬§ster√É¬•s, V√É¬§stmanland, Sweden","59.6099005,16.5448091",,63 r1/2
Becky Adlington,1989-02-17,23,Swimming,Women's 400 metres Freestyle,Great Britain,Bronze,Female,"Rebecca ""Becky"" Adlington",179,70,"Mansfield, Nottinghamshire, Great Britai","53.147195,-1.198674",,3
Becky Adlington,1989-02-17,23,Swimming,Women's 800 metres Freestyle,Great Britain,Bronze,Female,"Rebecca ""Becky"" Adlington",179,70,"Mansfield, Nottinghamshire, Great Britai","53.147195,-1.198674",,3
Nathan Adrian,1988-12-07,23,Swimming,Men's 100 metres Freestyle,United States,Gold,Male,Nathan Ghar-Jun Adrian,198,102,"Bremerton, Washington, United States","47.5673202,-122.6329356",,1
Nathan Adrian,1988-12-07,23,Swimming,Men's 4 x 100 metres Freestyle Relay,United States,Silver,Male,Nathan Ghar-Jun Adrian,198,102,"Bremerton, Washington, United States","47.5673202,-122.6329356",,2
Nathan Adrian,1988-12-07,23,Swimming,Men's 4 x 100 metres Medley Relay,United States,Gold,Male,Nathan Ghar-Jun Adrian,198,102,"Bremerton, Washington, United States","47.5673202,-122.6329356",,1
 Adrianinha,1978-12-06,33,Basketball,Women's Basketball,Brazil,,Female,"Adriana ""Adrianinha"" Mois√É¬©s Pinto",170,60,"Franca, S√É¬£o Paulo, Brazil","-20.5393288,-47.4013437",,9
Jasper Aerents,1992-12-18,19,Swimming,Men's 50 metres Freestyle,Belgium,,Male,Jasper Aerents,190,84,"Ghent, Oost-Vlaanderen, Belgium","51.0543422,3.7174243",,22
Jasper Aerents,1992-12-18,19,Swimming,Men's 4 x 100 metres Freestyle Relay,Belgium,,Male,Jasper Aerents,190,84,"Ghent, Oost-Vlaanderen, Belgium","51.0543422,3.7174243",,8
Sara Aerts,1984-01-25,28,Athletics,Women's Heptathlon,Belgium,,Female,Sara Aerts,182,64,"Turnhout, Antwerpen, Belgium","51.3216509,4.9375577",,AC
Kseniya Afanasyeva,1991-09-13,20,Gymnastics,Women's Team All-Around,Russia,Silver,Female,Kseniya Dmitriyevna Afanasyeva,158,,"Tula, Tula, Russia","54.204836,37.6184915",,2
Kseniya Afanasyeva,1991-09-13,20,Gymnastics,Women's Floor Exercise,Russia,,Female,Kseniya Dmitriyevna Afanasyeva,158,,"Tula, Tula, Russia","54.204836,37.6184915",,6
Kseniya Afanasyeva,1991-09-13,20,Gymnastics,Women's Balance Beam,Russia,,Female,Kseniya Dmitriyevna Afanasyeva,158,,"Tula, Tula, Russia","54.204836,37.6184915",,5
Khairulnizam Mohd Afendy,1993-05-27,19,Sailing,Men's One Person Dinghy,Malaysia,,Male,Khairulnizam Mohd Afendy,182,70,"Banting, Selangor, Malaysia","2.809509,101.504155",,47
Fran√É¬ßois Affolter,1991-03-13,21,Football,Men's Football,Switzerland,,Male,Fran√É¬ßois Jacques Affolter,186,74,"Grenchen, Solothurn, Switzerland","47.193585,7.3954451",,13
Georgios Afroudakis,1976-10-17,35,Water Polo,Men's Water Polo,Greece,,Male,Georgios Afroudakis,194,103,"Athina, Attiki, Greece","37.983917,23.7293599",,9
Khristos Afroudakis,1984-05-23,28,Water Polo,Men's Water Polo,Greece,,Male,Khristos Afroudakis,188,88,"Athina, Attiki, Greece","37.983917,23.7293599",,9
Drago√Ö≈∏ Agache,1984-03-08,28,Swimming,Men's 100 metres Breaststroke,Romania,,Male,Drago√Ö≈∏ Agache,175,75,"Br√Ñ∆íila, Br√Ñ∆íila, Romania","45.269194,27.957472",,37T
Alphonsine Agahozo,1996-07-18,16,Swimming,Women's 50 metres Freestyle,Rwanda,,Female,Alphonsine Agahozo,160,50,"Nyarugenge, Kigali, Rwanda","-1.9567157,30.0636349",,59
Luca Agamennoni,1980-08-08,31,Rowing,Men's Coxless Fours,Italy,,Male,Luca Agamennoni,188,94,"Livorno, Livorno, Italy","43.548473,10.3105674",,8
Komi Agbetoglo,1993-12-24,18,Table Tennis,Men's Singles,Togo,,Male,Komi Mawussi Agbetoglo,,,"Agom√É¬©, Maritime, Togo","6.46057,1.730256",,65T
Marilyn Agliotti,1979-06-23,33,Hockey,Women's Hockey,Netherlands,Gold,Female,Marilyn Agliotti,172,58,"Boksburg, Gauteng, South Africa","-26.2125,28.2625",,1
Yannick Agnel,1992-06-09,20,Swimming,Men's 100 metres Freestyle,France,,Male,Yannick Agnel,202,90,"N√É¬Æmes, Gard, France","43.836699,4.360054",,4
Yannick Agnel,1992-06-09,20,Swimming,Men's 200 metres Freestyle,France,Gold,Male,Yannick Agnel,202,90,"N√É¬Æmes, Gard, France","43.836699,4.360054",,1
Yannick Agnel,1992-06-09,20,Swimming,Men's 4 x 100 metres Freestyle Relay,France,Gold,Male,Yannick Agnel,202,90,"N√É¬Æmes, Gard, France","43.836699,4.360054",,1
Yannick Agnel,1992-06-09,20,Swimming,Men's 4 x 200 metres Freestyle Relay,France,Silver,Male,Yannick Agnel,202,90,"N√É¬Æmes, Gard, France","43.836699,4.360054",,2
Yannick Agnel,1992-06-09,20,Swimming,Men's 4 x 100 metres Medley Relay,France,,Male,Yannick Agnel,202,90,"N√É¬Æmes, Gard, France","43.836699,4.360054",,10
Anna Agrafioti,1991-04-10,21,Sailing,Women's One Person Dinghy,Greece,,Female,Anna Agrafioti,178,76,"Cholargos, Athina, Attiki, Greece","37.9955836,23.7999176",,33
